num-flashcard,english-word,irregular-english-word,definition,example-sentence,translate-example-sentence
114,care,,"1. (v.) Preocuparse, importar. ; 2. (v.) Cuidar.",I don't care! Do what you want!,¡No me importa! ¡Haz lo que quieras!
115,forget,,1. (v.) Olvidar.,It feels like I forget words right after I learn them.,Siento que olvido las palabras justo después de aprenderlas.
116,move,,1. (v.) Mover. ; 2. (sus.) Jugada.,Can you help me move this table?,¿Puedes ayudarme a mover esta mesa?
117,door,,1. (sus.) Puerta,"Hailey opened the door, then went inside.",Hailey abrió la puerta y luego entró.
118,room,,"1. (sus.) Habitación, cuarto. ; 2. (sus.) Espacio.",My house has five rooms.,Mi casa tiene cinco cuartos.
119,fun,,"1. (sus.) Diversión, entretenimiento. ; 2. (adj.) Divertido, entretenido.",Playing sports is fun!,¡Hacer deporte es divertido!
120,hard,,1. (adj.) Duro. ; 2. (adj.) Difícil.,"Learning a language is hard, but fun.","Aprender un idioma es difícil, pero divertido."
121,shop,,"1. (sus.) Tienda, negocio, comercio.   ; 2. (v.) Ir de compras.",There are so many great shops here!,¡Hay tantas tiendas muy buenas aquí!
122,while,,1. (conj.) Mientras.,"While you are shopping, can you please buy some eggs?","Mientras estás de compras, ¿puedes comprar algunos huevos?"
123,hurt,,"1. (v.) Herir, lastimar.  ; 2. (v.) Doler.",Is this going to hurt?,¿Esto va a doler?
124,bucket,,"1. (sus.) Cubeta, balde, cubo (España).",There isn't much water in the bucket.,No hay mucha agua en el balde.
125,pour,,"1. (v.) Verter, servir ; 2. (v.) Derramar.",Linden poured Amy a glass of ice cold lemonade.,Linden sirvió a Amy un vaso de limonada helada.
126,fill,,1. (v.) Llenar.,"Fill up the bucket, then pour it right here.","Llene el balde, luego vierta aquí."
127,ever,,1. (adv.) Nunca. ; 2. (adv.) Alguna vez.,This is the largest tree I have ever seen!,¡Este es el árbol más grande que he visto alguna vez en mi vida!
128,keep,,"1. (v.) Guardar, conservar. ; 2. (v.) Continuar, seguir.",Andrew keeps all of his things in a box.,Andrew guarda todas sus cosas en una caja.
129,watch,,"1. (v.) Mirar, ver. ; 2. (v.) Vigilar, cuidar.",My aunt watches too much TV.,Mi tía ve demasiada televisión.
130,turn,,"1. (v.) Girar, rotar.  ; 2. (sus.) Curva, recodo.","The key turns to the left, not the right.","La llave gira a la izquierda, no a la derecha."
131,through,,"1. (prep.) A través de.  ; 2. (prep.) Por, a causa de.",I'm learning English through immersion.,Estoy aprendiendo inglés a través de la inmersión.
132,sleep,,1. (v.) Dormir.,Gary's cat is always sleeping.,El gato de Gary siempre está durmiendo.
133,throw,,"1. (v.) Tirar, lanzar.",Stop throwing things at me.,Deja de lanzarme cosas.
134,win,,1. (v.) Ganar.,Daniel won the race.,Daniel ganó la carrera.
135,most,,"1. (adj.) Que es mayoría, que es la mayor parte. ; 2. (adv.) Más.",Most Americans can only speak English.,La mayoría de los estadounidenses solo pueden hablar inglés.
136,hand,,"1. (sus.) Mano. ; 2. (v.) Dar, pasar.",Most people have two hands.,La mayoría de la gente tiene dos manos.
137,sell,sold,1. (v.) Vender,Karson has been trying to sell his house.,Karson ha estado tratando de vender su casa.
138,set,,"1. (v.) Poner, colocar ; 2. (v.) Fijar",Can you set that on the table for me?,¿Puedes poner eso en la mesa para mí?
139,front,,1. (sus.) Frente.  ; 2. (sus.) Parte delantera.,He set up a table in front of the house.,Puso una mesa frente a la casa.
140,clean,,1. (adj.) Limpio.  ; 2. (v.) Limpiar.,Did you clean the kitchen like I asked?,¿Limpiaste la cocina como te pedí?
141,bit,,"1. (sus.) Un poco ; 2. (sus.) Pedazo, trozo.","He's a bit crazy, isn't he?","Está un poco loco, ¿no es así?"
142,eye,,"1. (sus.) Ojo. ; 2. (v.) Ver, admirar.",Jamie has beautiful blue eyes.,Jamie tiene hermosos ojos azules.
143,month,,1. (sus.) Mes.,I just had the best month ever.,Acabo de tener el mejor mes de mi vida.
144,"until, till",,"1. (prep.) Hasta que, hasta.",I'm busy until 10. Can we meet after that?,Estoy ocupado hasta las 10. ¿Podemos reunirnos después de eso?
145,bury,buried,1. (v.) Enterrar.,I couldn't remember where I buried the box.,No podía recordar dónde enterré la caja.
146,nose,,1. (sus.) Nariz.,He always has his nose buried in a book.,Siempre tiene la nariz enterrada en un libro.
147,window,,1. (sus.) Ventana.,They closed all the windows.,Cerraron todas las ventanas.
148,mouth,,1. (sus.) Boca.,Oscar kissed me on the mouth.,Oscar me besó en la boca.
149,cover,,1. (v.) Cubrir. ; 2. (sus.) Cobertura.,Please cover your mouth when you sneeze!,"¡Por favor, cúbrete la boca cuando estornudes!"
150,lay,laid,"1. (v.) Acostarse, tumbarse",Ken was laying on his bed.,Ken estaba acostado en su cama.
151,stare,,1. (v.) Mirar fijamente,He was staring at me the whole time.,Me estuvo mirando fijamente todo el tiempo.
152,floor,,"1. (sus.) Suelo  ; 2. (sus.) Piso, planta",He laid on the floor and stared at the ceiling.,Él se tumbó en el suelo y miró al techo.
153,dream,,1. (sus.) Sueño. ; 2. (v.) Soñar,I had a terrible dream last night.,Tuve un sueño terrible anoche.
154,hide,,"1. (v.) Ocultar, esconder.",Brian hides his cigarettes in there just in case.,Brian esconde su cigarrillos allí por si acaso.
155,kid,,"1. (sus.) Niño, muchacho, chico ; 2. (v.) Bromear.",Edward is a very smart kid.,Edward es un niño muy inteligente.
156,pay,,1. (v.) Pagar. ; 2. (v.) Valer la pena,There's no way you pay 2 dollars for a coffee.,No hay forma de que pagues 2 dólares por un café.
157,together,,1. (adv.) Juntos. ; 2. (adv.) Al mismo tiempo.,Let's go to the zoo together!,¡Vamos juntos al zoológico!
158,tomorrow,,1. (adv.) Mañana  ; 2. (sus.) Mañana,You can come back tomorrow afternoon.,Puedes volver mañana por la tarde.
159,matter,,"1. (sus.) Asunto, tema, cuestión. ; 2. (v.) Importar","Honestly, it doesn't matter what we do.","Honestamente, no importa lo que hagamos."
160,stay,,"1. (v.) Permanecer, quedarse. ; 2. (sus.) Parada, estancia.",Please stay here with me.,"Por favor, quédate aquí conmigo."
161,hit,,"1. (v.) Golpear, pegar, chocar. ; 2. (sus.) Éxito.",Isabella hit her sister on the head.,Isabella golpeó a su hermana en la cabeza.
162,steal,stole,1. (v.) Robar.,The vehicle was stolen.,El vehículo fue robado.
163,lie,,1. (v.) Mentir.  ; 2. (v.) Acostarse,Why would you lie to me like that?,¿Por qué me mentirías así?
164,fly,,1. (v.) Volar.  ; 2. (sus.) Mosca.,Margaret flew to Boston yesterday.,Margaret voló a Boston ayer.
165,fall,,"1. (v.) Caer, caerse. ; 2. (sus.) Otoño.",Brian fell and hurt his leg.,Brian se cayó y se lastimó la pierna.
166,light,,1. (sus.) Luz.,"Please turn on the lights, I can't see anything!","¡Enciende las luces, no puedo ver nada!"
167,horse,,"1. (sus.) Caballo, equino.",I dreamt I was a horse and could fly.,Soñé que era un caballo y podía volar.
168,wall,,"1. (sus.) Pared. ; 2. (sus.) Muro, muralla.",Their office has four walls.,Su oficina tiene cuatro paredes.
169,across,,"1. (prep.) De un lado a otro de, a través de.   ; 2. (prep.) Al otro lado de.",Tom swam across the river.,Tom está nadando al otro lado del río.
170,desk,,1. (sus.) Escritorio. ; 2. (sus.) Mesa de trabajo.,Calvin was sitting behind his desk.,Calvin estaba sentado detrás de su escritorio.
171,shake,shook,"1. (v.) Agitar, sacudir. ; 2. (sus.) Batido.","Vincent, Natalie and Theresa all shook their heads.","Vincent, Natalie y Theresa negaron sacudiendo  la cabeza."
172,evening,,"1. (sus.) Tarde, noche.",Aren't you usually home during the evening?,¿No suelen estar en casa durante las tardes?
173,quick,,"1. (adj.) Rápido, rapidamente.  ; 2. (adj.) Pronto.",Please move quickly so this doesn't take too long.,"Por favor, muévase rápidamente para que esto no lleve demasiado tiempo."
174,corner,,"1. (sus.) Esquina, rincón.  ; 2. (v.) Acorralar.",The house on the corner is new.,La casa de la esquina es nueva
175,issue,,"1. (sus.) Cuestión, problema, asunto.  ; 2. (sus.) Ejemplar, edición.",My new car has issues.,Mi coche nuevo tiene problemas.
176,sharp,,1. (adj.) Afilado.  ; 2. (adj.) Puntiagudo.,My knife isn't as sharp as it used to be.,Mi cuchillo no está tan afilado como antes.
177,knife,,1. (sus.) Cuchillo.,I like to cut vegetables with a sharp knife.,Me gusta cortar las verduras con un cuchillo afilado.
178,sick,,"1. (adj.) Enfermo, enferma.  ; 2. (adj.) Nauseabundo.","I was sick, so I didn't go to school.","Estaba enfermo, así que no fui a la escuela."
179,sudden,,"1. (adj.) Súbito, repentino.  ; 2. (adj.) Brusco.",I suddenly feel sick.,De repente me siento enfermo
180,ground,,"1. (sus.) Suelo, tierra.  ; 2. (sus.) Los fundamentos de un argumento.",Tom loves to lay on the ground and stare at the sky.,A Tom le encanta acostarse en el suelo y mirar fijamente al cielo.
181,chest,,"1. (sus.) Pecho.  ; 2. (sus.) Arcón, cofre.",Kyle got a tattoo of a chicken on his chest.,Kylie se hizo un tatuaje de un pollo en el pecho.
182,climb,,"1. (v.) Escalar, trepar, ascender.",Can you climb a palm tree?,¿Puedes trepar a una palmera?
183,place,,1. (sus.) Lugar.,Australia is a great place to visit.,Australia es un gran lugar para visitar.
184,face,,"1. (sus.) Cara, rostro. ; 2. (v.) Afrontar.",Brianna has a beautiful face.,Brianna tiene una cara hermosa.
185,bill,,1. (sus.) Cuenta.  ; 2. (sus.) Billete.,How much is the bill?,¿Cuánto es la cuenta?
186,wine,,1. (sus.) Vino.,She filled her glass with wine.,Llenó su copa de vino.
187,bring,brought,1. (v.) Traer. ; 2. (v.) Llevar.,Bill brought a bottle of wine to the party.,Bill trajo una botella de vino a la fiesta.
188,actually,,"1. (adv.) En realidad, de hecho, realmente.",I actually really liked the movie. It was funny!,En realidad me gustó mucho la película. ¡Estuvo divertida!
189,both,,"1. (adj.) Ambos, ambas. ; 2. (pron.) Dos (nosotros dos).",Both of my eyes are green.,Mis dos ojos son verdes.
190,forward,,"1. (adv.) Adelante, hacia adelante.  ; 2. (sus.) Delantero.",Move the car forward a bit more.,Mueve el auto un poco más hacia adelante.
191,street,,1. (sus.) Calle. ; 2. (adj.) Callejero.,"Keep driving forward, then turn right at the next street.","Siga conduciendo hacia adelante, luego gire a la derecha en la siguiente calle."
192,a few,,"1. (pron.) Pocos. ; 2. (sus.) Unos cuantos, unos pocos.",Michelle has only been learning English for a few months.,Michelle solo ha estado aprendiendo inglés durante unos cuantos meses.
193,seat,,1. (sus.) Silla.  ; 2. (sus.) Asiento.,"Take a seat, John. We need to talk.","Toma asiento, John. Necesitamos hablar."
194,top,,"1. (sus.) Cima, cumbre, parte superior.",Erin climbed to the top of the mountain.,Erin subió a la cima de la montaña.
195,hang,hung,1. (v.) Colgar.,He hung the picture on the wall.,Él colgó la foto en la pared.
196,trouble,,"1. (sus.) Problema, dificultad.",You could have been in very big trouble.,Podrías haber estado en un problema muy grande.
197,bag,,"1. (sus.) Bolsa, bolso, maleta. ; 2. (sus.) Mochila.",We forgot our bags at the airport!,¡Olvidamos nuestras maletas en el aeropuerto!
198,joke,,1. (sus.) Chiste.  ; 2. (v.) Bromear.,People don't usually tell jokes at funerals.,La gente no suele decir chistes en funerales.
199,stick,stuck,1. (v.) Pegar. ; 2. (sus.) Palo.,Stick it to the door so I remember.,Pégalo a la puerta para que me acuerde.
200,step,,1. (sus.) Paso. ; 2. (v.) Dar un paso.,"Adrien took two steps forward, then stopped.",Adrien dio dos pasos hacia adelante y luego se detuvo.
201,taste,,1. (v.) Probar.   ; 2. (sus.) sabor.,Try it and tell me what it tastes like.,Pruébalo y dime a qué sabe.
202,afraid,,"1. (adj.) Temoroso, con miedo.  ; 2. (adj.) Reluctante, receloso.",Please don't be afraid to ask for help.,"Por favor, no tenga miedo de pedir ayuda."
203,weekend,,1. (sus.) Fin de semana,I'm going to Boston next weekend,Voy a Boston el próximo fin de semana
204,chair,,1. (sus.) Silla.,There's a cat sitting on the chair.,Hay un gato sentado en la silla.
205,injure,,1. (v.) Herir o causar daño físico.,Alexandria was injured in a car accident.,Alejandría resultó herida en un accidente automovilístico.
206,wrist,,1. (sus.) Muñeca (de la mano).,Hector fell and injured his wrist.,Héctor se cayó y se lesionó la muñeca.
207,grab,,"1. (v.) Agarrar, tomar.",Jordan grabbed Samantha by the wrist.,Jordan agarró a Samantha por la muñeca.
208,huge,,1. (adj.) Enorme.,This apartment is huge!,¡Este apartamento es enorme!
209,fish,,1. (sus.) Pez.  ; 2. (sus.) Pescado.,He bought fish sticks for dinner.,Él compró palitos de pescado para la cena.
210,allow,,"1. (v.) Permitir, dejar",My parents won't allow me out after midnight.,Mis padres no me permiten salir después de la medianoche.
211,burn,,"1. (v.) Quemar, prender fuego.",Careful! You're going to burn yourself.,¡Cuidado! Vas a quemarte.
212,handle,,"1. (sus.) Manija, mango, asa.  ; 2. (v.) Manejar, manipular.",Grab it by the handle so you don't get burned.,Cógelo por el asa para que no se queme.
213,instead,,"1. (adv.) En su lugar, en cambio.",Andrea decided to wear a blue skirt instead of an red one.,Andrea decidió usar una falda azul en lugar de una roja.
214,fit,,"1. (v.) Caber, encajar, quedar.  ; 2. (adj.) Adecuado.",These jeans fit me perfectly!,¡Estos jeans me quedan perfectamente!
215,request,,"1. (sus.) Petición, pedido, solicitud.  ; 2. (v.) Solicitar, pedir.",All requests are confidential.,Todas las solicitudes son confidenciales.
216,boss,,1. (sus.) Jefe.  ; 2. (sus.) Patrón.,Victoria requested more money from her boss.,Victoria le pidió más dinero a su jefe.
217,meat,,1. (sus.) Carne,You sure do eat a lot of meat.,Seguro que comes mucha carne.
218,tie,,"1. (sus.) Corbata.  ; 2. (v.) Atar, ligar.",Is that a new tie? I like it!,¿Es una corbata nueva? ¡Me gusta!
